sku,description,product_family,component_type,colour,price_aud_ex_gst,supplier_url,image_url
STG-2521-WP-P,Summit - 25x21mm - Wall Plate - POLISH,SUMMIT 25x21mm,Wall Plate,Polished,7.54,https://glassoutletonline.com.au/product/-/stg-2521-wp-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-P.JPG
STG-2521-WP-S,Summit - 25x21mm - Wall Plate - SATIN,SUMMIT 25x21mm,Wall Plate,Satin,7.54,https://glassoutletonline.com.au/product/-/stg-2521-wp-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-S.JPG
STG-2521-WP-VA-L-B,Summit-25x21 Wall Vert Adj-LEFT- BLACK,SUMMIT 25x21mm,Wall Plate - Vertical Adjustable (Left),Black,12.53,https://glassoutletonline.com.au/product/-/stg-2521-wp-va-l-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-VA-L-B.JPG
STG-2521-WP-VA-L-P,Summit-25x21 Wall Vert Adj-LEFT- POLISH,SUMMIT 25x21mm,Wall Plate - Vertical Adjustable (Left),Polished,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-va-l-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-VA-L-P.JPG
STG-2521-WP-VA-L-S,Summit-25x21 Wall Vert Adj-LEFT- SATIN,SUMMIT 25x21mm,Wall Plate - Vertical Adjustable (Left),Satin,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-va-l-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-VA-L-S.JPG
STG-2521-WP-VA-R-B,Summit-25x21 Wall Vert Adj-RIGHT- BLACK,SUMMIT 25x21mm,Wall Plate - Vertical Adjustable (Right),Black,12.53,https://glassoutletonline.com.au/product/-/stg-2521-wp-va-r-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-VA-R-B.JPG
STG-2521-WP-VA-R-P,Summit-25x21 Wall Vert Adj-RIGHT- POLISH,SUMMIT 25x21mm,Wall Plate - Vertical Adjustable (Right),Polished,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-va-r-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-VA-R-P.JPG
STG-2521-WP-VA-R-S,Summit-25x21 Wall Vert Adj-RIGHT- SATIN,SUMMIT 25x21mm,Wall Plate - Vertical Adjustable (Right),Satin,11.25,https://glassoutletonline.com.au/product/-/stg-2521-wp-va-r-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WP-VA-R-S.JPG
STG-2521-WPEXT-B,Summit - 25x21mm Wall Plate Ext - BLACK,SUMMIT 25x21mm,Wall Plate - Extended,Black,11.91,https://glassoutletonline.com.au/product/-/stg-2521-wpext-b,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WPEXT-B.JPG
STG-2521-WPEXT-MW,Summit - 25x21mm Wall Plate Ext - WHITE,SUMMIT 25x21mm,Wall Plate - Extended,Matte White,11.91,https://glassoutletonline.com.au/product/-/stg-2521-wpext-mw,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WPEXT-MW.JPG
STG-2521-WPEXT-P,Summit - 25x21mm Wall Plate Ext - POLISH,SUMMIT 25x21mm,Wall Plate - Extended,Polished,9.72,https://glassoutletonline.com.au/product/-/stg-2521-wpext-p,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WPEXT-P.JPG
STG-2521-WPEXT-S,Summit - 25x21mm Wall Plate Ext - SATIN,SUMMIT 25x21mm,Wall Plate - Extended,Satin,9.72,https://glassoutletonline.com.au/product/-/stg-2521-wpext-s,https://glassoutletonline.com.au/pictures/resized/250x250/STG-2521-WPEXT-S.JPG
